,run,score,decision,acrobatie
8708,5,21,"[6, 5, 4, 2, 3, 1]",False
8709,5,13,"[1, 1, 1, 2, 5, 3]",False
8710,5,9,"[1, 2, 3, 1, 1, 1]",False
8711,4,29,"[6, 5, 6, 6, 4, 2]",False
8712,4,32,"[6, 5, 5, 6, 4, 6]",False
8713,6,15,"[1, 1, 1, 6, 2, 4]",False
8714,2,32,"[6, 6, 6, 5, 5, 4]",False
8715,5,30,"[6, 5, 6, 3, 6, 4]",False
8716,3,7,"[1, 1, 2, 1, 1, 1]",False
8717,2,27,"[6, 6, 4, 4, 5, 2]",False
8718,6,12,"[1, 2, 1, 2, 5, 1]",False
8719,5,10,"[1, 2, 2, 2, 2, 1]",False
8720,5,11,"[1, 1, 2, 2, 4, 1]",False
8721,4,30,"[6, 6, 6, 6, 2, 4]",False
8722,4,8,"[1, 1, 2, 1, 1, 2]",False
8723,3,13,"[1, 1, 1, 2, 2, 6]",False
8724,3,35,"[6, 6, 6, 5, 6, 6]",False
8725,5,16,"[5, 1, 1, 3, 3, 3]",True
8726,3,27,"[6, 6, 5, 5, 4, 1]",False
8727,5,31,"[6, 5, 5, 5, 5, 5]",False
8728,3,6,"[1, 1, 1, 1, 1, 1]",False
8729,6,26,"[6, 5, 3, 6, 3, 3]",False
8730,4,27,"[6, 6, 6, 6, 2, 1]",False
8731,4,27,"[6, 6, 6, 5, 2, 2]",False
8732,4,32,"[6, 6, 6, 6, 6, 2]",False
8733,5,15,"[1, 2, 1, 2, 3, 6]",False
8734,3,17,"[1, 1, 2, 2, 5, 6]",False
8735,4,29,"[6, 6, 6, 5, 5, 1]",False
8736,5,13,"[1, 2, 1, 1, 2, 6]",False
8737,2,15,"[1, 1, 3, 3, 2, 5]",False
8738,3,31,"[6, 6, 6, 6, 5, 2]",False
8739,4,12,"[1, 2, 2, 3, 1, 3]",False
8740,3,35,"[6, 6, 6, 6, 6, 5]",False
8741,2,33,"[6, 6, 5, 5, 5, 6]",False
8742,3,15,"[1, 1, 2, 2, 4, 5]",False
8743,3,13,"[1, 1, 2, 2, 2, 5]",False
8744,5,10,"[2, 1, 1, 2, 3, 1]",False
8745,5,33,"[6, 5, 5, 6, 6, 5]",False
8746,5,12,"[1, 2, 2, 2, 1, 4]",False
8747,4,29,"[6, 6, 6, 5, 5, 1]",False
8748,5,13,"[1, 2, 1, 2, 4, 3]",False
8749,4,6,"[1, 1, 1, 1, 1, 1]",False
8750,6,31,"[5, 5, 6, 6, 5, 4]",False
8751,6,9,"[1, 3, 1, 2, 1, 1]",False
8752,2,13,"[1, 1, 3, 3, 2, 3]",False
8753,5,14,"[1, 2, 1, 3, 4, 3]",False
8754,5,33,"[6, 5, 6, 6, 6, 4]",False
8755,4,15,"[1, 1, 2, 3, 2, 6]",False
8756,3,10,"[1, 1, 1, 1, 1, 5]",False
8757,4,11,"[6, 1, 1, 1, 1, 1]",True
8758,4,29,"[6, 5, 6, 6, 4, 2]",False
8759,3,6,"[1, 1, 1, 1, 1, 1]",False
8760,5,21,"[6, 5, 4, 3, 2, 1]",False
8761,4,28,"[6, 6, 6, 4, 4, 2]",False
8762,3,9,"[1, 1, 2, 1, 1, 3]",False
8763,4,12,"[1, 1, 2, 2, 3, 3]",False
8764,4,11,"[1, 1, 2, 3, 2, 2]",False
8765,3,35,"[6, 5, 6, 6, 6, 6]",False
8766,4,13,"[1, 1, 1, 3, 1, 6]",False
8767,6,18,"[1, 1, 3, 3, 4, 6]",False
8768,3,34,"[6, 6, 5, 6, 6, 5]",False
8769,5,20,"[1, 2, 1, 5, 5, 6]",False
8770,3,8,"[1, 1, 1, 2, 1, 2]",False
8771,4,8,"[1, 1, 1, 2, 2, 1]",False
8772,3,7,"[1, 1, 1, 1, 2, 1]",False
8773,4,14,"[1, 1, 2, 3, 2, 5]",False
8774,5,25,"[6, 6, 6, 4, 2, 1]",False
8775,4,30,"[6, 6, 5, 4, 6, 3]",False
8776,4,30,"[6, 6, 6, 6, 5, 1]",False
8777,4,28,"[6, 6, 5, 5, 4, 2]",False
8778,3,34,"[6, 6, 6, 6, 6, 4]",False
8779,3,34,"[6, 5, 6, 6, 6, 5]",False
8780,6,29,"[6, 6, 5, 4, 2, 6]",False
8781,4,10,"[1, 1, 1, 1, 4, 2]",False
8782,5,12,"[1, 2, 1, 1, 2, 5]",False
8783,4,30,"[6, 5, 5, 5, 6, 3]",False
8784,4,35,"[6, 6, 6, 6, 5, 6]",False
8785,5,11,"[1, 2, 2, 2, 2, 2]",False
8786,4,26,"[6, 6, 5, 2, 2, 5]",False
8787,1,9,"[1, 1, 1, 2, 2, 2]",False
8788,5,28,"[6, 5, 5, 3, 6, 3]",False
8789,5,12,"[1, 2, 2, 5, 1, 1]",False
8790,5,14,"[1, 2, 2, 2, 3, 4]",False
8791,1,31,"[6, 6, 6, 5, 4, 4]",False
8792,5,11,"[1, 2, 2, 1, 3, 2]",False
8793,3,29,"[6, 6, 5, 5, 5, 2]",False
8794,4,9,"[1, 1, 1, 1, 1, 4]",False
8795,4,29,"[6, 5, 5, 5, 6, 2]",False
8796,5,31,"[6, 6, 6, 5, 6, 2]",False
8797,4,32,"[6, 6, 5, 4, 5, 6]",False
8798,4,8,"[1, 1, 1, 2, 2, 1]",False
8799,4,10,"[1, 1, 1, 1, 2, 4]",False
8800,4,32,"[6, 6, 6, 6, 5, 3]",False
8801,6,11,"[2, 3, 2, 1, 2, 1]",False
8802,5,28,"[6, 5, 5, 6, 2, 4]",False
8803,5,28,"[6, 6, 5, 3, 4, 4]",False
8804,4,13,"[1, 1, 1, 2, 2, 6]",False
8805,2,34,"[6, 6, 5, 5, 6, 6]",False
8806,3,34,"[6, 6, 6, 6, 5, 5]",False
8807,6,27,"[5, 5, 6, 5, 3, 3]",False
8808,2,14,"[1, 1, 3, 3, 2, 4]",False
8809,6,26,"[5, 5, 5, 4, 4, 3]",False
8810,6,10,"[1, 2, 1, 1, 1, 4]",False
8811,4,34,"[6, 6, 5, 5, 6, 6]",False
8812,4,9,"[1, 1, 2, 1, 2, 2]",False
8813,4,7,"[1, 1, 2, 1, 1, 1]",False
8814,4,28,"[6, 5, 6, 6, 4, 1]",False
8815,5,18,"[5, 1, 1, 2, 4, 5]",True
8816,5,10,"[1, 2, 2, 1, 3, 1]",False
8817,5,8,"[2, 1, 1, 1, 2, 1]",False
8818,4,34,"[6, 6, 6, 6, 6, 4]",False
8819,4,7,"[1, 2, 1, 1, 1, 1]",False
8820,4,28,"[6, 5, 5, 4, 6, 2]",False
8821,5,14,"[1, 2, 1, 1, 3, 6]",False
8822,3,28,"[6, 6, 5, 5, 5, 1]",False
8823,5,30,"[6, 5, 6, 6, 5, 2]",False
8824,5,30,"[6, 5, 6, 4, 6, 3]",False
8825,5,32,"[5, 6, 6, 5, 5, 5]",False
8826,6,11,"[1, 2, 3, 2, 2, 1]",False
8827,5,8,"[1, 1, 1, 2, 2, 1]",False
8828,3,8,"[1, 1, 1, 1, 1, 3]",False
8829,5,29,"[6, 5, 6, 6, 5, 1]",False
8830,4,13,"[1, 2, 2, 1, 6, 1]",False
8831,5,10,"[1, 1, 3, 2, 1, 2]",False
8832,4,33,"[6, 6, 6, 5, 4, 6]",False
8833,4,31,"[6, 6, 5, 5, 4, 5]",False
8834,4,25,"[6, 6, 5, 5, 2, 1]",False
8835,5,11,"[1, 2, 1, 2, 4, 1]",False
8836,2,27,"[6, 6, 4, 4, 5, 2]",False
8837,3,29,"[6, 6, 6, 5, 5, 1]",False
8838,6,29,"[6, 6, 5, 5, 5, 2]",False
8839,4,32,"[6, 5, 5, 5, 5, 6]",False
