,run,score,decision,acrobatie
9229,6,13,"[2, 1, 1, 2, 2, 5]",False
9230,4,13,"[1, 1, 1, 4, 4, 2]",False
9231,6,11,"[1, 2, 1, 2, 2, 3]",False
9232,5,32,"[6, 6, 4, 4, 6, 6]",False
9233,5,32,"[6, 6, 5, 6, 6, 3]",False
9234,4,35,"[6, 5, 6, 6, 6, 6]",False
9235,6,30,"[6, 4, 5, 6, 4, 5]",False
9236,5,10,"[1, 1, 1, 2, 3, 2]",False
9237,4,31,"[6, 6, 5, 6, 6, 2]",False
9238,5,27,"[5, 6, 6, 4, 3, 3]",False
9239,6,27,"[6, 5, 5, 3, 4, 4]",False
9240,5,30,"[6, 6, 6, 6, 5, 1]",False
9241,5,15,"[1, 1, 2, 2, 4, 5]",False
9242,6,15,"[1, 1, 3, 2, 4, 4]",False
9243,5,28,"[6, 4, 6, 6, 5, 1]",False
9244,4,12,"[1, 1, 1, 3, 1, 5]",False
9245,6,16,"[1, 5, 2, 2, 2, 4]",False
9246,5,31,"[6, 4, 6, 6, 6, 3]",False
9247,6,31,"[6, 6, 6, 5, 3, 5]",False
9248,5,31,"[6, 6, 4, 6, 5, 4]",False
9249,6,19,"[2, 1, 2, 4, 5, 5]",False
9250,6,16,"[2, 4, 1, 2, 1, 6]",False
9251,4,29,"[6, 6, 6, 4, 3, 4]",False
9252,4,29,"[6, 6, 6, 5, 4, 2]",False
9253,6,12,"[1, 1, 2, 1, 3, 4]",False
9254,4,33,"[6, 5, 6, 6, 5, 5]",False
9255,6,14,"[1, 3, 1, 1, 2, 6]",False
9256,6,32,"[6, 6, 5, 6, 4, 5]",False
9257,6,10,"[1, 1, 2, 1, 1, 4]",False
9258,5,32,"[6, 6, 4, 6, 5, 5]",False
9259,4,7,"[1, 1, 1, 1, 1, 2]",False
9260,6,13,"[1, 3, 2, 3, 3, 1]",False
9261,6,15,"[2, 1, 3, 4, 1, 4]",False
9262,3,34,"[6, 6, 6, 6, 6, 4]",False
9263,5,10,"[1, 1, 4, 2, 1, 1]",False
9264,5,11,"[2, 1, 1, 4, 1, 2]",False
9265,6,14,"[1, 2, 2, 1, 2, 6]",False
9266,6,13,"[2, 1, 2, 1, 4, 3]",False
9267,2,33,"[6, 6, 6, 6, 5, 4]",False
9268,6,26,"[6, 4, 6, 3, 6, 1]",False
9269,4,31,"[6, 6, 4, 3, 6, 6]",False
9270,6,26,"[6, 5, 6, 6, 2, 1]",False
9271,6,29,"[6, 5, 4, 6, 6, 2]",False
9272,4,9,"[1, 1, 1, 1, 4, 1]",False
9273,6,29,"[6, 5, 5, 5, 3, 5]",False
9274,5,29,"[6, 6, 6, 6, 2, 3]",False
9275,5,30,"[6, 6, 6, 6, 5, 1]",False
9276,5,32,"[6, 6, 6, 6, 3, 5]",False
9277,2,33,"[6, 6, 6, 6, 4, 5]",False
9278,6,31,"[6, 6, 5, 3, 5, 6]",False
9279,4,32,"[6, 6, 6, 6, 4, 4]",False
9280,2,32,"[6, 6, 6, 4, 5, 5]",False
9281,6,30,"[6, 6, 6, 3, 6, 3]",False
9282,4,36,"[6, 6, 6, 6, 6, 6]",False
9283,5,18,"[1, 1, 4, 3, 3, 6]",False
9284,5,8,"[1, 1, 1, 2, 2, 1]",False
9285,4,16,"[2, 1, 1, 1, 5, 6]",False
9286,4,11,"[2, 3, 1, 1, 2, 2]",False
9287,6,25,"[5, 6, 4, 4, 4, 2]",False
9288,5,10,"[1, 1, 1, 1, 4, 2]",False
9289,4,6,"[1, 1, 1, 1, 1, 1]",False
9290,6,15,"[1, 2, 1, 2, 6, 3]",False
9291,6,13,"[1, 4, 3, 2, 2, 1]",False
9292,6,10,"[1, 1, 2, 3, 2, 1]",False
9293,5,27,"[6, 6, 4, 3, 4, 4]",False
9294,6,33,"[6, 6, 5, 6, 5, 5]",False
9295,6,28,"[6, 6, 3, 5, 3, 5]",False
9296,5,10,"[1, 1, 2, 1, 1, 4]",False
9297,5,10,"[1, 1, 1, 2, 1, 4]",False
9298,5,13,"[1, 1, 1, 1, 4, 5]",False
9299,5,32,"[6, 6, 6, 6, 4, 4]",False
9300,4,11,"[2, 2, 1, 1, 1, 4]",False
9301,5,35,"[5, 6, 6, 6, 6, 6]",False
9302,6,11,"[1, 1, 2, 1, 4, 2]",False
9303,6,15,"[2, 1, 1, 4, 1, 6]",False
9304,5,30,"[6, 6, 3, 5, 5, 5]",False
9305,6,30,"[6, 3, 4, 6, 5, 6]",False
9306,5,29,"[6, 6, 6, 2, 5, 4]",False
9307,5,9,"[1, 1, 1, 1, 2, 3]",False
9308,5,31,"[6, 4, 6, 3, 6, 6]",False
9309,2,33,"[6, 6, 6, 6, 6, 3]",False
9310,5,30,"[6, 6, 6, 5, 2, 5]",False
9311,5,10,"[1, 1, 2, 1, 1, 4]",False
9312,4,8,"[1, 1, 1, 1, 1, 3]",False
9313,4,7,"[1, 1, 1, 1, 1, 2]",False
9314,5,12,"[1, 3, 1, 1, 1, 5]",False
9315,6,16,"[1, 3, 3, 3, 2, 4]",False
9316,4,31,"[6, 6, 6, 5, 5, 3]",False
9317,6,16,"[2, 1, 2, 3, 5, 3]",False
9318,5,32,"[6, 5, 6, 6, 6, 3]",False
9319,5,32,"[6, 6, 6, 5, 3, 6]",False
9320,5,27,"[6, 6, 6, 5, 2, 2]",False
9321,5,7,"[1, 1, 1, 1, 2, 1]",False
9322,4,33,"[6, 6, 6, 6, 4, 5]",False
9323,5,13,"[1, 1, 3, 3, 2, 3]",False
9324,4,7,"[1, 1, 1, 1, 1, 2]",False
9325,5,29,"[6, 6, 5, 3, 6, 3]",False
9326,5,29,"[6, 6, 5, 5, 3, 4]",False
9327,3,10,"[1, 1, 1, 1, 1, 5]",False
9328,6,27,"[6, 6, 4, 4, 3, 4]",False
9329,4,9,"[1, 1, 1, 1, 1, 4]",False
9330,4,30,"[6, 6, 6, 2, 4, 6]",False
9331,5,31,"[6, 3, 4, 6, 6, 6]",False
9332,4,32,"[6, 6, 6, 6, 5, 3]",False
9333,5,32,"[5, 6, 6, 6, 5, 4]",False
9334,5,9,"[1, 2, 2, 2, 1, 1]",False
9335,6,32,"[6, 6, 4, 4, 6, 6]",False
9336,4,32,"[6, 6, 4, 4, 6, 6]",False
9337,5,31,"[6, 4, 6, 6, 5, 4]",False
9338,6,19,"[1, 1, 3, 3, 5, 6]",False
9339,3,34,"[6, 6, 6, 6, 5, 5]",False
9340,4,8,"[1, 1, 1, 2, 1, 2]",False
9341,6,13,"[1, 1, 1, 2, 2, 6]",False
9342,6,30,"[6, 6, 5, 6, 5, 2]",False
9343,3,35,"[6, 6, 6, 6, 6, 5]",False
9344,2,10,"[1, 1, 1, 2, 3, 2]",False
9345,2,33,"[6, 6, 6, 6, 4, 5]",False
9346,5,29,"[6, 6, 5, 6, 3, 3]",False
9347,6,30,"[6, 6, 5, 5, 6, 2]",False
9348,4,13,"[1, 1, 1, 5, 1, 4]",False
